Department,Country,Brand,SKU ID,SKU Name,Size,Tags
2001 WATER,UKRAINE,POLYANA KVASOVA,4.82E+12,WATER MINERAL POLYANA KVASOVA BLUE PET,1.5L,
2001 WATER,UKRAINE,POLYANA KVASOVA,4.82E+12,WATER MINERAL POLYANA KVASOVA GL,0.5L,
2001 WATER,UKRAINE,MIRGORODSKAYA,4.82E+12,WATER SPARKLING MIRGORODSKAYA PET,1.5L,
2001 WATER,UKRAINE,TRUSKAVETSKA,4.82012E+12,WATER MINERAL TRUSKAVETSKAYA BLUE NON-CARBONATED PET,1.5L,
2001 WATER,UKRAINE,TRUSKAVETSKA,4.82012E+12,WATER SPARKLING TRUSKAVETSKAYA GREEN PET,1.5L,
2001 WATER,UKRAINE,MORSHINSKA,4.82002E+12,WATER SPARKLING MORSHINSKA BLUE PET,1.5L,
2001 WATER,UKRAINE,MORSHINSKA,4.82002E+12,WATER MINERAL MORSHINSKA GREEN PET,1.5L,
2001 WATER,UKRAINE,LUZHANSKA,4.82E+12,WATER SPARKLING LUZHANSKA PET,1.5L,
2001 WATER,UKRAINE,LUZHANSKA,4.82E+12,WATER MINERAL LUZHANSKA GLASS,0.5L,
2001 WATER,UKRAINE,KUYALNIK,4.82E+12,WATER SPARKLING KUYALNIK PET,1.5L,
2001 WATER,RUSSIA,NARZAN,4.60054E+12,WATER MINERAL NARZAN GL,0.5L,
2001 WATER,RUSSIA,NARZAN,4.60702E+12,WATER MINERAL NARZAN PET,1.5L,
2001 WATER,RUSSIA,ESSENTUKI,4.60702E+12,WATER MINERAL ESSENTUKI 17 GL,0.5L,
2001 WATER,RUSSIA,ESSENTUKI,4.60702E+12,WATER MINERAL ESSENTUKI 4 GL,0.45L,
2001 WATER,RUSSIA,ESSENTUKI,4.60702E+12,WATER MINERAL ESSENTUKI #4 PET,1L,
2001 WATER,RUSSIA,EMV,4.60704E+12,WATER MINERAL EMV ESSENTUKI 4 GL,0.5L,
2001 WATER,RUSSIA,EMV,4.60793E+12,WATER MINERAL EMV ESSENTUKI #17 GL,0.5L,
2001 WATER,RUSSIA,EMV,4.60793E+12,WATER MINERAL EMV ESSENTUKI #4 PET,1.5L,
2001 WATER,RUSSIA,EMV,4.60793E+12,WATER MINERAL EMV ESSENTUKI #17 PET,1.5L,
2001 WATER,USA,SARATOGA,070960000143,WATER SPRING SARATOGA STILL GL,12OZ,
2001 WATER,USA,SARATOGA,070960000112,WATER.SPK SARATOGA SPARKLING GL,28OZ,
2001 WATER,USA,SARATOGA,070960000136,WATER SPRING SARATOGA CARBONATED GL,12OZ,
2001 WATER,USA,SARATOGA,070960951544,WATER.SPK SARATOGA PET,28OZ,
2001 WATER,USA,LA CROIX,012993441012,WATER SPARKLING LA CROIX PASSION FRUIT CN,12OZ,
2001 WATER,USA,LA CROIX,012993441142,WATER.SPK LA CROIX BEACH PLUM CN,12OZ,
2001 WATER,USA,LA CROIX,012993441111,WATER SPARKLING LA CROIX LIMONCELLO CN,12OZ,
2001 WATER,USA,LA CROIX,073360377518,WATER SPARKLING LA CROIX LEMON CN,12OZ,
2001 WATER,USA,LA CROIX,01299311209,WATER.SPK LA CROIX HI BISCUS CN,12OZ,
2001 WATER,USA,LA CROIX,012993441128,WATER SPARKLING LA CROIX BLACK RAZZBERRY CN,12OZ,
2001 WATER,USA,LA CROIX,01299311210,WATER SPARKLING LA CROIX WATERMELON CN,12OZ,
2001 WATER,USA,NESTLE,06827465,WATER NESTLE PURE PET*,0.5L,
2001 WATER,USA,POLAND SPRING,075720334117,WATER.MIN POLAND SPRING PET 3L,3L,
2001 WATER,USA,POLAND SPRING,075720000814,WATER SPRING POLAND SPRING PET,0.5L,
2001 WATER,USA,POLAND SPRING,075720000616,WATER SPRING POLAND SPRING PET,1L,
2001 WATER,USA,FIJI,6.32565E+11,WATER NATURAL FIJI PET,1L,
2001 WATER,USA,ROXANE,7.65317E+11,WATER ROXANE PURIFIED PET*,0.5L,
2001 WATER,USA,ZEPHYRHILLS,073430000018,WATER SPRING ZEPHYRHILLS PET,1GAL,
2001 WATER,USA,ZEPHYRHILLS,073430000056,WATER ZEPHYRHILLS PET,1GAL,
2001 WATER,USA,ZEPHYRHILLS,073430005044,WATER SPRING ZEPHYRHILLS PET,0.5L,
2001 WATER,USA,DASANI,049000409789,WATER SPARKLING DASANI,16.9OZ,
2001 WATER,USA,DASANI,049000026566,WATER DASANI PURIFIED PET,1L,
2001 WATER,USA,DASANI,499770,WATER.MIN DASANI PET,0.59L,
2001 WATER,USA,PURE LIFE,068274360169,WATER PURE LIFE DISTILLED PET,1GAL,
2001 WATER,USA,PURE LIFE,068274346613,WATER.NAT PURE LIFE PURIFIED PET 1GL,1GL,
2001 WATER,USA,TEN ALKALINE,8.10053E+11,WATER SPRING TEN ALKALINE 10PH PET,0.5L,
2001 WATER,USA,TEN ALKALINE,8.10053E+11,WATER SPRING TEN ALKALINE 10PH,1GL,
2001 WATER,USA,TEN ALKALINE,8.10053E+11,WATER SPRING TEN ALKALINE 10PH PET,1.5L,
2001 WATER,USA,TEN ALKALINE,8.10053E+11,WATER SPRING TEN ALKALINE 10PH PET,1L,
2001 WATER,USA,CRYSTAL GEYSER,075140005154,WATER.SPR CRYSTAL GEYSER 1GL,1 GL,
2001 WATER,USA,CRYSTAL GEYSER,075140005000,WATER SPRING CRYSTAL GEYSER PET,1.5L,
2001 WATER,USA,CRYSTAL GEYSER,075140005024,WATER.SPR CRYSTAL GEYSER PET 0.5L,0.5L,
2001 WATER,USA,GLACEAU,7.86162E+11,WATER.MIN GLACEAU SMARTWATER GL 1L,1L,
2001 WATER,USA,GLACEAU,7.86162E+11,WATER.MIN GLACEAU SMARTWATER 20OZ,20OZ,
2001 WATER,USA,GLACEAU,7.86162E+11,WATER MINERAL GLACEAU SMARTWATERY GL,0.7L,
2001 WATER,USA,GLACEAU,7.86163E+11,WATER MINERAL GLACEAU SMARTWATER PET,1.5L,
2001 WATER,USA,GLACEAU,7.86162E+11,WATER GLACEAU SMARTWATER DISTILED ALKALINE PET,1L,
2001 WATER,USA,BODYARMOR,8.58176E+11,WATER.MIN BODYARMOR SPORT ALKALINE 1L,1L,
2001 WATER,USA,RAIN,8.60002E+11,WATER.SPR RAIN ALUMINUM,16OZ,
2001 WATER,ITALY,SAN PELLEGRINO,041508800075,WATER MINERAL SAN PELLEGRINO GL,0.25L,
2001 WATER,ITALY,SAN PELLEGRINO,041508800129,WATER MINERAL SAN PELLEGRINO GL,0.75L,
2001 WATER,ITALY,SAN PELLEGRINO,041508199483,WATER S.PELLEGRINO PEACH,11.15OZ,
2001 WATER,ITALY,SAN PELLEGRINO,041508152525,WATER S.PELLEGRINO ORANGE BLOOD,11.15OZ,
2001 WATER,ITALY,SAN PELLEGRINO,041508416719,WATER S.PELLEGRINO LIME SPARKLING CIAO,11.15OZ,
2001 WATER,ITALY,SAN PELLEGRINO,041508800082,WATER MINERAL SAN PELLEGRINO PET,0.5L,
2001 WATER,ITALY,SAN PELLEGRINO,BM177,WATER SAN PELLEGRINO CIAO CHERRY CN,0.33L,
2001 WATER,ITALY,SAN PELLEGRINO,041508800006,WATER.MIN SAN PELLEGRINO GL 1L,1L,
2001 WATER,ITALY,SAN PELLEGRINO,041508802185,WATER MINERAL SAN PELLEGRINO PET,1L,
2001 WATER,ITALY,SAN PELLEGRINO,041508803052,WATER SPARKLING SAN PELLEGRINO CN,0.33L,
2001 WATER,ITALY,SAN PELLEGRINO,041508800037,WATER MINERAL SAN PELLEGRINO GL,0.5L,
2001 WATER,ITALY,SAN BENEDETTO,039153012189,WATER NATURAL SAN BENEDETTO PET,0.5L,
2001 WATER,ITALY,SAN BENEDETTO,8.59091E+11,WATER SPARKLING SAN BENEDETTO PURE,0.5L,
2001 WATER,ITALY,SAN BENEDETTO,8.59091E+11,WATER.SPK SAN BENEDETTO CN 0.33L,0.33L,
2001 WATER,ITALY,SAN BENEDETTO,8.59091E+11,WATER MINERAL SAN BENEDETTO NATURAL GL,1L,
2001 WATER,ITALY,SAN BENEDETTO,7.20196E+11,WATER MINERAL SAN BENEDETTO NATURAL PET,1.5L,
2001 WATER,ITALY,SAN BENEDETTO,8.59091E+11,WATER NATURAL SAN BENEDETTO GL,0.5L,
2001 WATER,ITALY,SAN BENEDETTO,8.59091E+11,WATER SPARKLING SAN BENEDETTO GL,1L,
2001 WATER,ITALY,SAN BENEDETTO,BM171,WATER SAN BENEDETTO SPARKLING PET,1L,
2001 WATER,ITALY,SAN BENEDETTO,BM160,WATER SPARKLING SAN BENEDETTO ANTICA FONTE GL,0.65L,
2001 WATER,ITALY,SAN BENEDETTO,BM157,WATER SPARKLING SAN BENEDETTO ANTICA FONTE STILL GL,11.1OZ,
2001 WATER,ITALY,SAN BENEDETTO,8.59091E+11,WATER SPARKLING SAN BENEDETTO PET,1.5L,
2001 WATER,ITALY,ACQUA PANNA,041508600057,WATER SPRING ACQUA PANNA GL,0.25L,
2001 WATER,ITALY,ACQUA PANNA,041508634489,WATER SPRING ACQUA PANNA GL,0.75L,
2001 WATER,ITALY,ACQUA PANNA,041508600200,WATER SPRING ACQUA PANNA PET,0.5L,
2001 WATER,ITALY,ACQUA PANNA,041508600309,WATER.SPR ACQUA PANNA TUSCANY GL 1L,1L,
2001 WATER,ITALY,ACQUA PANNA,041508922487,WATER.SPR ACQUA PANNA TUSCANY PET 1L,1L,
2001 WATER,ITALY,LAURETANA,8.00419E+12,WATER.NAT LAURETANA BLUE STILL GL,1L,
2001 WATER,ITALY,LAURETANA,8.00419E+12,WATER SPARKLING LAURETANA BLUE SPARKLING GL,1L,
2001 WATER,ITALY,LAURETANA,8.00419E+12,WATER NATURAL LAURETANA STILL PET,1.5L,
2001 WATER,ITALY,LAURETANA,8.00419E+12,WATER NATURAL LAURETANA STILL PET,1.5L,
2001 WATER,ARMENIA,THE WELL,4.85001E+12,WATER THE WELL STILL GL,300ML,
2001 WATER,ARMENIA,ARARAT,4.85001E+12,WATER ARARAT SPARKLING GL,300ML,
2001 WATER,ARMENIA,JERMUK,4.85001E+12,WATER MINERAL JERMUK PET,1L,
2001 WATER,ARMENIA,JERMUK,4.85001E+12,WATER.MIN JERMUK CN 0.33L,0.33L,
2001 WATER,GERMANY,GEROLSTEINER,075502386679,WATER SPARKLING GEROLSTEINER GL,0.75L,
2001 WATER,POLAND,NALECZOWIANKA,6.57462E+11,WATER SPARKLING NALECZOWIANKA PET,1.5L,
2001 WATER,POLAND,NALECZOWIANKA,6.57462E+11,WATER NATURAL NALECZOWIANKA NON CARBONATED PET,1.5L,
2001 WATER,FRANCE,PERRIER,074780377416,WATER.MIN PERRIER ORANGE 0.5L,0.5L,
2001 WATER,FRANCE,PERRIER,074780468251,WATER SPARKLING  PERRIER BLACKBERRY PET,0.5L,
2001 WATER,FRANCE,PERRIER,074780439961,WATER SPARKLING PERRIER LIME PET,0.5L,
2001 WATER,FRANCE,PERRIER,074780426701,WATER SPARKLING MAISON PERRIER ULTIMATE CN,0.33L,
2001 WATER,FRANCE,EVIAN,079298112009,WATER SPRING EVIAN NATURAL PET,11.2OZ,
2001 WATER,FRANCE,EVIAN,079298000085,WATER SPRING EVIAN PET,0.5L,
2001 WATER,FRANCE,EVIAN,079298000078,WATER SPRING EVIAN PET,1L,
2001 WATER,THAILAND,TASTE NIRVANA,011259904223,WATER NATURAL TASTE NIRVANA COCONUT PULP CN,0.48L,
2001 WATER,THAILAND,TASTE NIRVANA,011259904209,WATER NATURAL TASTE NIRVANA COCONUT CN,0.48L,
2001 WATER,THAILAND,TASTE NIRVANA,011259806886,WATER NATURAL TASTE NIRVANA COCONUT PULP GL,0.28L,
2001 WATER,MEXICO,TOPO CHICO,021136010374,WATER TOPO CHICO MINERAL GL,355ML,
2001 WATER,SLOVENIA,RADENSKA,7.29816E+11,WATER.MIN RADENSKA GL,0.25L,
2001 WATER,SLOVENIA,RADENSKA,6.16618E+11,WATER.MIN RADENSKA PET,1.5L,
2001 WATER,GEORGIA,BORJOMI,4.86002E+12,WATER MINERAL BORJOMI GL,0.5L,
2001 WATER,GEORGIA,BORJOMI,4.86002E+12,WATER SPARKLING BORJOMI PET,1.25L,
2001 WATER,GEORGIA,BORJOMI,4.86002E+12,WATER MINERAL BORJOMI GL,0.33L,
2001 WATER,GEORGIA,BORJOMI,4.86002E+12,WATER MINERAL BORJOMI PET,1L,
2001 WATER,GEORGIA,BORJOMI,4.86002E+12,WATER MINERAL BORJOMI PET,0.75L,
